File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
Res 0505-2023,,Resolution,Filed (End of Session),Committee on Criminal Justice,Christopher Marte,2,Resolution calling on the New York City Department of Design and Construction and the New York City Department of Correction to repurpose and convert the Manhattan Detention Complex into the new Borough Based Jail in lieu of demolition.
Int 0936-2023,,Introduction,Filed (End of Session),Committee on Contracts,Althea V. Stevens,6,A Local Law in relation to establishing a task force to examine disparities in contracting
Int 0932-2023,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Sandy Nurse,17,A Local Law in relation to a study on the feasibility of establishing a social housing agency and the repeal of this local law upon the expiration thereof
Res 0506-2023,,Resolution,Filed (End of Session),Committee on Housing and Buildings,Sandy Nurse,24,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, A.5573/S.3082, in relation to prohibiting eviction without good cause."
Res 0507-2023,,Resolution,Filed (End of Session),Committee on General Welfare,Althea V. Stevens,8,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, S.322/A.7454, the Chisholm Chance Act, which would establish a plan to address the severe maternal morbidity crisis in Brooklyn and the Bronx."
Int 0935-2023,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Public Advocate Jumaane Williams,5,"A Local Law to amend the administrative code of the city of New York, in relation to the licensing of general contractors"
Int 0934-2023,,Introduction,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Public Advocate Jumaane Williams,12,A Local Law in relation to requiring the placement of an informational sign near the intersection of Wall and Pearl Streets in Manhattan to mark the site of New York’s first slave mark
Int 0930-2023,,Introduction,Filed (End of Session),Committee on Education,Linda Lee,10,"A Local Law to amend the administrative code of the city of New York, in relation to requiring distribution of information regarding phone interpretation services"
Res 0503-2023,,Resolution,Adopted,Committee on Housing and Buildings,Justin L. Brannan,16,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, legislation that allows for the conversion of commercial units to residential units and creates the Affordable Housing from Commercial Conversions (AHCC) tax benefit program."
Int 0925-2023,,Introduction,Filed (End of Session),Committee on Criminal Justice,Tiffany Cabá,7,"A Local Law to amend the New York city charter, the administrative code of the city of New York, the New York city plumbing code, and the New York city building code, in relation to the terms “inmate,” “prisoner,” and “incarcerated individual” and other similar terminology as "
Res 0500-2023,,Resolution,Filed (End of Session),Committee on General Welfare,Alexa Avilé,20,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, legislation to create the New York State Working Families Tax Credit."
Res 0504-2023,,Resolution,Filed (End of Session),Committee on Civil and Human Rights,Crystal Hudson,7,Resolution calling on the United States Congress to reintroduce and pass and the President to sign the Cannabis Administration and Opportunity Act.
Int 0928-2023,,Introduction,Filed (End of Session),Committee on Education,Kamillah Hanks,13,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of education to report on funding for restorative justice programming and services"
Int 0922-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Joann Ariola,10,"A Local Law to amend the administrative code of the city of New York, in relation to notification of the removal of parking spaces"
Int 0923-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Alexa Avilé,38,"A Local Law to amend the administrative code of the city of New York, in relation to conducting a study of the impact that truck and delivery traffic generated by last mile facilities have on local communities and infrastructure"
Int 0927-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Jennifer Gutiérre,12,A Local Law in relation to establishing a task force to study the feasibility of building charging stations for bicycles with electric assist to be used by food delivery workers
Int 0921-2023,,Introduction,Filed (End of Session),Committee on Housing and Buildings,Shaun Abreu,13,"A Local Law to amend the administrative code of the city of New York, in relation to estimating the annual expenditures required to provide legal services for tenants who are subject to eviction proceedings"
Res 0501-2023,,Resolution,Filed (End of Session),Committee on Transportation and Infrastructure,Alexa Avilé,13,Resolution calling on top maritime importers to New York City ports to commit to making the City’s streets greener by reducing truck traffic and using marine vessels for last mile deliveries throughout the borough
Int 0924-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Alexa Avilé,19,A Local Law in relation to requiring the department of transportation to study street design as a means to limit or reduce the use by commercial vehicles of streets in residential neighborhoods
Int 0929-2023,,Introduction,Filed (End of Session),Committee on Civil and Human Rights,Crystal Hudson,10,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting discrimination on the basis of poverty in opportunities of employment and access to public accommodations"
Res 0499-2023,,Resolution,Adopted,Committee on Housing and Buildings,Shaun Abreu,27,"Resolution calling on the New York State legislature to pass, and the Governor to sign, A.4993/S.3254, requiring that any party eligible under local law for free legal counsel for an eviction proceeding may be granted an adjournment by the court for additional time to secure counsel"
Int 0926-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Amanda Faría,7,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of transportation to conduct an annual study on bicycle activity"
T2023-3035,,Oversight,Filed,Committee on Women and Gender Equity,,0,Oversight - The HOME+ Program
T2023-3021,,Oversight,Filed,Committee on General Welfare,,0,Oversight - Universal Access to Legal Services Law and Tenant Protection.
T2023-3016,,Oversight,Filed,Committee on Small Business,,0,Oversight - Support for Unemployed Youth
T2023-3015,,Oversight,Filed,Committee on Land Use,,0,Oversight - Residential Conversion of Commercial Buildings
LU 0173-2023,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number N 220307 ZRX (521 East Tremont Avenue Rezoning) submitted by M521 Tremont LLC pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area., Borough of the Bronx, Community District 6, Council District 15."
T2023-2959,,Oversight,Filed,Committee on Environmental Protection,,0,Oversight - New York City’s Water and Sewage Testing Infrastructur
T2023-2982,,Oversight,Filed,Committee on Public Housing,,0,Oversight - Air Quality in NYCHA Apartments
LU 0172-2023,,Land Use Application,Adopted,Subcommittee on Zoning and Franchises,"Rafael Salamanca, Jr.",1,"Application number C 220306 ZMX (521 East Tremont Avenue Rezoning) submitted by M521 Tremont LLC pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 3d: eliminating a Special Mix Use District (MX-14), changing from an R6A District to a C4-4D District, changing from an C4-5X District to a C4-4D District, and changing from an M1-4/R7A District to a C4-4D District. Borough of the Bronx, Community District 6, Council District 15."
T2023-2979,,Oversight,Filed,Committee on Technology,,0,Oversight - Film Industry Expansion in New York City
T2023-2978,,Oversight,Filed,Committee on Economic Development,,0,Oversight - Film Industry Expansion in New York City
T2023-2977,,Oversight,Filed,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",,0,Oversight - Film Industry Expansion in New York City
T2023-2976,,Oversight,Filed,Committee on State and Federal Legislation,,0,Oversight - Dignity for All: National and Local Efforts to End Appearance-Based Discrimination.
T2023-2975,,Oversight,Filed,Committee on Civil and Human Rights,,0,Oversight - Dignity for All: National and Local Efforts to End Appearance-Based Discrimination.
Res 0502-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,3,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
T2023-2972,,Oversight,Filed,Committee on Education,,0,"Oversight - 3-K Funding Cuts and Delayed Reimbursements to Early Childhood Providers,"
T2023-2919,,Oversight,Filed,Committee on Housing and Buildings,,0,Oversight - Social Housing
T2023-2971,,Oversight,Filed,Committee on Aging,,0,Oversight - Access-A-Ride
T2023-2970,,Oversight,Filed,"Committee on Mental Health, Disabilities and Addiction",,0,Oversight - Access-A-Ride
T2023-2969,,Oversight,Filed,Committee on Transportation and Infrastructure,,0,Oversight - Access-A-Ride
Res 0494-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPOINTING RACHEL BEDARD AS A MEMBER OF THE NEW YORK CITY BOARD OF CORRECTION (M. 111-2023).
Res 0493-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPOINTING DEANNA HOSKINS AS A MEMBER OF THE NEW YORK CITY BOARD OF CORRECTION (M. 110-2023).
Res 0492-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE COUNCIL OF CAROL R. EDMEAD AS A MEMBER OF THE NEW YORK CITY BOARD OF ELECTIONS (M. 109-2023).
Res 0491-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF MARK GINSBERG AS A MEMBER OF THE NEW YORK CITY LANDMARKS PRESERVATION COMMISSION (M. 108-2023).
Res 0490-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF ANGIE MASTER AS A MEMBER OF THE NEW YORK CITY LANDMARKS PRESERVATION COMMISSION (M. 107-2023).
Res 0489-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF STEPHEN CHU AS A MEMBER OF THE NEW YORK CITY LANDMARKS PRESERVATION COMMISSION (M. 106-2023).
M 0124-2023,,Communication,"Received, Ordered, Printed and Filed",City Council,,0,Communication from the Speaker - Submitting an annual report pursuant to rule 2.75b in relation to complaints of sexual harassment as defined by the Council’s Anti-Discrimination and Harassment Polic
M 0123-2023,,Communication,Filed (End of Session),Committee on Finance,,0,"Communication from the Office of Management & Budget - Appropriation of new City revenues in Fiscal Year 2023, pursuant to Section 107(e) of the New York City Charter. (MN-3)"
M 0122-2023,,Communication,Filed,Committee on Finance,,0,"Communication from the Office of Management & Budget - Transfer City funds between various agencies in Fiscal Year 2023 to implement changes to the City's expense budget, pursuant to Section 107(b) of the New York City Charter. (MN-2)"
M 0119-2023,,Mayor's Message,Filed,Committee on Finance,,0,"Communication from the Mayor - Submitting the Preliminary Ten-Year Capital Strategy Fiscal Years 2024-2033, pursuant to Section 215 of the New York City Charter."
M 0118-2023,,Mayor's Message,Filed,Committee on Finance,,0,"Communication from the Mayor - Submitting the Preliminary Capital Commitment Plan, Fiscal Year 2024, Volumes 1, 2, 3, & 4, pursuant to Section 219 of the New York City Charter."
M 0117-2023,,Mayor's Message,Filed,Committee on Finance,,0,"Communication from the Mayor - Submitting the Preliminary Capital Budget, Fiscal Year 2024, pursuant to Section 213 and 236 of the New York City Charter."
M 0116-2023,,Mayor's Message,Filed,Committee on Finance,,0,"Communication from the Mayor - Submitting Departmental Estimates for Fiscal Year 2024, pursuant to Sections 100, 212 and 231 of the New York City Charter."
